instr,addr mode,opcode
ADC,IMM,0x69
ADC,ZP,0x65
ADC,ZPX,0x75
ADC,ABS,0x6D
ADC,ABSX,0x7D
ADC,ABSY,0x79
ADC,IXID,0x61
ADC,IDIX,0x71
AND,IMM,0x29
AND,ZP,0x25
AND,ZPX,0x35
AND,ABS,0x2D
AND,ABSX,0x3D
AND,ABSY,0x39
AND,IXID,0x21
AND,IDIX,0x31
ASLA,ACC,0x0A
ASL,ZP,0x06
ASL,ZPX,0x16
ASL,ABS,0x0E
ASL,ABSX,0x1E
BCC,REL,0x90
BCS,REL,0xB0
BEQ,REL,0xF0
BIT,ZP,0x24
BIT,ABS,0x2C
BMI,REL,0x30
BNE,REL,0xD0
BPL,REL,0x10
BRK,BRK,0x00
BVC,REL,0x50
BVS,REL,0x70
CLC,IMP,0x18
CLD,IMP,0xD8
CLI,IMP,0x58
CLV,IMP,0xB8
CMP,IMM,0xC9
CMP,ZP,0xC5
CMP,ZPX,0xD5
CMP,ABS,0xCD
CMP,ABSX,0xDD
CMP,ABSY,0xD9
CMP,IXID,0xC1
CMP,IDIX,0xD1
CPX,IMM,0xE0
CPX,ZP,0xE4
CPX,ABS,0xEC
CPY,IMM,0xC0
CPY,ZP,0xC4
CPY,ABS,0xCC
DEC,ZP,0xC6
DEC,ZPX,0xD6
DEC,ABS,0xCE
DEC,ABSX,0xDE
DEX,IMP,0xCA
DEY,IMP,0x88
EOR,IMM,0x49
EOR,ZP,0x45
EOR,ZPX,0x55
EOR,ABS,0x4D
EOR,ABSX,0x5D
EOR,ABSY,0x59
EOR,IXID,0x41
EOR,IDIX,0x51
INC,ZP,0xE6
INC,ZPX,0xF6
INC,ABS,0xEE
INC,ABSX,0xFE
INX,IMP,0xE8
INY,IMP,0xC8
JMP,ABSJMP,0x4C
JMP,ABSID,0x6C
JSR,JSR,0x20
LDA,IMM,0xA9
LDA,ZP,0xA5
LDA,ZPX,0xB5
LDA,ABS,0xAD
LDA,ABSX,0xBD
LDA,ABSY,0xB9
LDA,IXID,0xA1
LDA,IDIX,0xB1
LDX,IMM,0xA2
LDX,ZP,0xA6
LDX,ZPY,0xB6
LDX,ABS,0xAE
LDX,ABSY,0xBE
LDY,IMM,0xA0
LDY,ZP,0xA4
LDY,ZPX,0xB4
LDY,ABS,0xAC
LDY,ABSX,0xBC
LSRA,ACC,0x4A
LSR,ZP,0x46
LSR,ZPX,0x56
LSR,ABS,0x4E
LSR,ABSX,0x5E
NOP,IMP,0xEA
ORA,IMM,0x09
ORA,ZP,0x05
ORA,ZPX,0x15
ORA,ABS,0x0D
ORA,ABSX,0x1D
ORA,ABSY,0x19
ORA,IXID,0x01
ORA,IDIX,0x11
PHA,PH,0x48
PHP,PH,0x08
PLA,PL,0x68
PLP,PL,0x28
ROLA,ACC,0x2A
ROL,ZP,0x26
ROL,ZPX,0x36
ROL,ABS,0x2E
ROL,ABSX,0x3E
RORA,ACC,0x6A
ROR,ZP,0x66
ROR,ZPX,0x76
ROR,ABS,0x6E
ROR,ABSX,0x7E
RTI,RTI,0x40
RTS,RTS,0x60
SBC,IMM,0xE9
SBC,ZP,0xE5
SBC,ZPX,0xF5
SBC,ABS,0xED
SBC,ABSX,0xFD
SBC,ABSY,0xF9
SBC,IXID,0xE1
SBC,IDIX,0xF1
SEC,IMP,0x38
SED,IMP,0xF8
SEI,IMP,0x78
STA,ZP,0x85
STA,ZPX,0x95
STA,ABS,0x8D
STA,ABSX,0x9D
STA,ABSY,0x99
STA,IXID,0x81
STA,IDIX,0x91
STX,ZP,0x86
STX,ZPY,0x96
STX,ABS,0x8E
STY,ZP,0x84
STY,ZPX,0x94
STY,ABS,0x8C
TAX,IMP,0xAA
TAY,IMP,0xA8
TSX,IMP,0xBA
TXA,IMP,0x8A
TXS,IMP,0x9A
TYA,IMP,0x98